[GIN] 2018/10/04 - 23:00:08 | 200 |     113.002µs |             ::1 | GET      /apidoc/vendor/diff_match_patch.min.js?v=1538704808735
[GIN] 2018/10/04 - 23:02:39 | 200 |     205.098µs |             ::1 | GET      /apidoc/vendor/jquery.min.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      29.655µs |             ::1 | GET      /apidoc/locales/locale.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     119.891µs |             ::1 | GET      /apidoc/vendor/lodash.custom.min.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     239.783µs |             ::1 | GET      /apidoc/api_project.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     207.973µs |             ::1 | GET      /apidoc/api_data.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     148.153µs |             ::1 | GET      /apidoc/utils/send_sample_request.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     181.074µs |             ::1 | GET      /apidoc/vendor/semver.min.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     138.645µs |             ::1 | GET      /apidoc/vendor/webfontloader.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     136.411µs |             ::1 | GET      /apidoc/vendor/path-to-regexp/index.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      64.078µs |             ::1 | GET      /apidoc/locales/ca.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     170.985µs |             ::1 | GET      /apidoc/vendor/list.min.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      90.647µs |             ::1 | GET      /apidoc/locales/de.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      77.583µs |             ::1 | GET      /apidoc/locales/es.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      77.022µs |             ::1 | GET      /apidoc/locales/fr.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      46.196µs |             ::1 | GET      /apidoc/locales/it.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      78.655µs |             ::1 | GET      /apidoc/locales/nl.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      60.001µs |             ::1 | GET      /apidoc/locales/pl.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      79.847µs |             ::1 | GET      /apidoc/locales/pt_br.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      75.629µs |             ::1 | GET      /apidoc/locales/ro.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      50.774µs |             ::1 | GET      /apidoc/locales/ru.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      80.618µs |             ::1 | GET      /apidoc/locales/tr.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      37.649µs |             ::1 | GET      /apidoc/locales/zh.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      28.292µs |             ::1 | GET      /apidoc/locales/zh_cn.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      72.694µs |             ::1 | GET      /apidoc/locales/vi.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |      61.343µs |             ::1 | GET      /apidoc/vendor/prettify/prettify.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     258.566µs |             ::1 | GET      /apidoc/vendor/handlebars.min.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     192.155µs |             ::1 | GET      /apidoc/vendor/bootstrap.min.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     103.942µs |             ::1 | GET      /apidoc/utils/handlebars_helper.js?v=1538704959536
[GIN] 2018/10/04 - 23:02:39 | 200 |     117.557µs |             ::1 | GET      /apidoc/vendor/diff_match_patch.min.js?v=1538704959536
